UTC Offset (sec),Date (m/y),ORGN_INkg
1233360000,1/2009,0.001281
1235779200,2/2009,0.001157
1238457600,3/2009,142.7
1241049600,4/2009,439.4
1243728000,5/2009,73.83
1246320000,6/2009,306.6
1248998400,7/2009,1932.0
1251676800,8/2009,3563.0
1254268800,9/2009,9292.0
1256947200,10/2009,391.3
1259539200,11/2009,0.3089
1262217600,12/2009,0.001281
1264896000,1/2010,0.001281
1267315200,2/2010,110.0
1269993600,3/2010,0.001281
1272585600,4/2010,1.161
1275264000,5/2010,0.4645
1277856000,6/2010,92.85
1280534400,7/2010,410.1
1283212800,8/2010,4019.0
1285804800,9/2010,7757.0
1288483200,10/2010,487.6
1291075200,11/2010,0.01382
1293753600,12/2010,2.087
1296432000,1/2011,0.001281
1298851200,2/2011,10.86
1301529600,3/2011,0.04929
1304121600,4/2011,46.87
1306800000,5/2011,872.8
1309392000,6/2011,3724.0
1312070400,7/2011,5640.0
1314748800,8/2011,5412.0
1317340800,9/2011,35850.0
1320019200,10/2011,18460.0
1322611200,11/2011,0.001862
1325289600,12/2011,0.001281
1327968000,1/2012,1.604
1330473600,2/2012,0.5781
1333152000,3/2012,0.05024
1335744000,4/2012,0.3907
1338422400,5/2012,20.03
1341014400,6/2012,150.6
1343692800,7/2012,641.5
1346371200,8/2012,2399.0
1348963200,9/2012,941.7
1351641600,10/2012,64.73
1354233600,11/2012,688.9
1356912000,12/2012,68.27
1359590400,1/2013,0.001281
1362009600,2/2013,0.001157
1364688000,3/2013,0.001281
1367280000,4/2013,0.00124
1369958400,5/2013,92.66
1372550400,6/2013,74.42
1375228800,7/2013,8971.0
1377907200,8/2013,19510.0
1380499200,9/2013,9366.0
1383177600,10/2013,1309.0
1385769600,11/2013,0.03345
1388448000,12/2013,943.3
1391126400,1/2014,0.006347
1393545600,2/2014,0.001157
1396224000,3/2014,54.57
1398816000,4/2014,20.1
1401494400,5/2014,1.708
1404086400,6/2014,17.44
