StreamID: 289
Parameters: FLOW_OUTcms, ORGN_OUTkg
Dates: 01/01/2001 - 12/31/2015



UTCoffset(sec)   Date(m/d/y)   FLOW_OUTcms   ORGN_OUTkg
978307200        1/1/2001      0.0           0.0          
978393600        1/2/2001      0.0           0.0          
978480000        1/3/2001      0.0           0.0          
978566400        1/4/2001      0.0           0.0          
978652800        1/5/2001      0.0           0.0          
978739200        1/6/2001      0.0           0.0          
978825600        1/7/2001      0.0           0.0          
978912000        1/8/2001      0.0           0.0          
978998400        1/9/2001      0.0           0.0          
979084800        1/10/2001     0.0           0.0          
979171200        1/11/2001     0.0           0.0          
979257600        1/12/2001     0.0           0.0          
979344000        1/13/2001     0.0           0.0          
979430400        1/14/2001     0.0           0.0          
979516800        1/15/2001     0.0           0.0          
979603200        1/16/2001     0.0           0.0          
979689600        1/17/2001     0.0           0.0          
979776000        1/18/2001     0.0           0.0          
979862400        1/19/2001     0.0           0.0          
979948800        1/20/2001     0.0           0.0          
980035200        1/21/2001     0.0           0.0          
980121600        1/22/2001     0.0           0.0          
980208000        1/23/2001     0.0           0.0          
980294400        1/24/2001     0.0           0.0          
980380800        1/25/2001     0.0           0.0          
980467200        1/26/2001     0.0           0.0          
980553600        1/27/2001     0.0           0.0          
980640000        1/28/2001     0.0           0.0          
980726400        1/29/2001     0.0           0.0          
980812800        1/30/2001     0.0           0.0          
980899200        1/31/2001     0.0           0.0          
980985600        2/1/2001      0.0           0.0          
981072000        2/2/2001      0.0           0.0          
981158400        2/3/2001      0.0           0.0          
981244800        2/4/2001      0.0           0.0          
981331200        2/5/2001      0.0           0.0          
981417600        2/6/2001      0.0           0.0          
981504000        2/7/2001      0.0           0.0          
981590400        2/8/2001      0.0           0.0          
981676800        2/9/2001      0.0           0.0          
981763200        2/10/2001     0.0           0.0          
981849600        2/11/2001     0.0           0.0          
981936000        2/12/2001     0.0           0.0          
982022400        2/13/2001     0.0           0.0          
982108800        2/14/2001     0.0           0.0          
982195200        2/15/2001     0.0           0.0          
982281600        2/16/2001     0.0           0.0          
982368000        2/17/2001     0.0           0.0          
982454400        2/18/2001     0.0           0.0          
982540800        2/19/2001     0.0           0.0          
982627200        2/20/2001     0.0           0.0          
982713600        2/21/2001     0.0           0.0          
982800000        2/22/2001     0.0           0.0          
982886400        2/23/2001     0.0           0.0          
982972800        2/24/2001     0.0           0.0          
983059200        2/25/2001     0.0           0.0          
983145600        2/26/2001     0.0           0.0          
983232000        2/27/2001     0.0           0.0          
983318400        2/28/2001     0.0           0.0          
983404800        3/1/2001      0.0           0.0          
983491200        3/2/2001      0.0           0.0          
983577600        3/3/2001      0.0           0.0          
983664000        3/4/2001      0.0           0.0          
983750400        3/5/2001      0.0           0.0          
983836800        3/6/2001      0.0           0.0          
983923200        3/7/2001      0.0           0.0          
984009600        3/8/2001      1.527         0.0          
984096000        3/9/2001      3.788         0.0          
984182400        3/10/2001     4.505         0.0          
984268800        3/11/2001     4.689         0.0          
984355200        3/12/2001     4.551         0.0          
984441600        3/13/2001     4.371         0.0          
984528000        3/14/2001     3.581         0.0          
984614400        3/15/2001     2.95          0.0          
984700800        3/16/2001     2.395         0.0          
984787200        3/17/2001     1.806         0.0          
984873600        3/18/2001     2.964         0.0          
984960000        3/19/2001     4.47          0.0          
985046400        3/20/2001     4.459         0.0          
985132800        3/21/2001     4.213         0.0          
985219200        3/22/2001     4.125         0.0          
985305600        3/23/2001     3.75          0.0          
985392000        3/24/2001     3.02          0.0          
985478400        3/25/2001     2.348         0.0          
985564800        3/26/2001     3.375         0.0          
985651200        3/27/2001     3.344         0.0          
985737600        3/28/2001     2.913         0.0          
985824000        3/29/2001     2.43          0.0          
985910400        3/30/2001     1.825         0.0          
985996800        3/31/2001     1.555         0.0          
986083200        4/1/2001      1.264         0.0          
986169600        4/2/2001      0.9739        0.0          
986256000        4/3/2001      0.8255        0.0          
986342400        4/4/2001      0.4944        0.0          
986428800        4/5/2001      0.3643        0.0          
986515200        4/6/2001      0.247         0.0          
986601600        4/7/2001      0.1032        1.028e-05    
986688000        4/8/2001      0.03173       5.624e-06    
986774400        4/9/2001      0.0           0.0          
986860800        4/10/2001     0.0           0.0          
986947200        4/11/2001     0.0           0.0          
987033600        4/12/2001     4.151         0.0          
987120000        4/13/2001     5.756         0.0          
987206400        4/14/2001     5.289         0.0          
987292800        4/15/2001     4.629         0.0          
987379200        4/16/2001     3.823         0.0          
987465600        4/17/2001     3.115         0.0          
987552000        4/18/2001     2.543         0.0          
987638400        4/19/2001     2.057         0.0          
987724800        4/20/2001     1.664         0.0          
987811200        4/21/2001     1.2           0.0          
987897600        4/22/2001     0.9895        0.0          
987984000        4/23/2001     0.7456        0.0          
988070400        4/24/2001     2.931         0.0          
988156800        4/25/2001     3.402         0.0          
988243200        4/26/2001     3.207         0.0          
988329600        4/27/2001     2.875         0.0          
988416000        4/28/2001     2.263         0.0          
988502400        4/29/2001     1.647         0.0          
988588800        4/30/2001     1.565         0.0          
988675200        5/1/2001      2.576         0.0          
988761600        5/2/2001      4.071         0.0          
988848000        5/3/2001      5.389         0.0          
988934400        5/4/2001      5.473         0.0          
989020800        5/5/2001      15.83         0.0          
989107200        5/6/2001      14.86         0.0          
989193600        5/7/2001      12.29         0.0          
989280000        5/8/2001      10.54         0.0          
989366400        5/9/2001      14.5          0.0          
989452800        5/10/2001     14.36         0.0          
989539200        5/11/2001     12.47         0.0          
989625600        5/12/2001     10.13         0.0          
989712000        5/13/2001     8.638         0.0          
989798400        5/14/2001     7.609         0.0          
989884800        5/15/2001     7.448         0.0          
989971200        5/16/2001     6.271         0.0          
990057600        5/17/2001     6.45          0.0          
990144000        5/18/2001     10.64         0.0          
990230400        5/19/2001     12.88         0.0          
990316800        5/20/2001     17.64         0.0          
990403200        5/21/2001     15.83         0.0          
990489600        5/22/2001     25.21         0.0          
990576000        5/23/2001     37.43         0.0          
990662400        5/24/2001     38.59         0.0          
990748800        5/25/2001     54.51         0.0          
990835200        5/26/2001     83.93         0.0          
990921600        5/27/2001     85.12         0.0          
991008000        5/28/2001     87.67         0.0          
991094400        5/29/2001     111.5         0.0          
991180800        5/30/2001     134.2         0.09528      
991267200        5/31/2001     134.6         0.0          
991353600        6/1/2001      128.6         0.0          
991440000        6/2/2001      135.6         0.0          
991526400        6/3/2001      137.2         0.0          
991612800        6/4/2001      132.8         0.0          
991699200        6/5/2001      166.6         2.32         
991785600        6/6/2001      317.3         42.34        
991872000        6/7/2001      226.4         5.244        
991958400        6/8/2001      208.3         1.317        
992044800        6/9/2001      434.4         56.01        
992131200        6/10/2001     280.1         7.606        
992217600        6/11/2001     248.9         1.988        
992304000        6/12/2001     230.0         0.5783       
992390400        6/13/2001     211.1         0.1768       
992476800        6/14/2001     190.1         0.055        
992563200        6/15/2001     170.1         0.01727      
992649600        6/16/2001     153.1         0.0          
992736000        6/17/2001     135.6         0.0          
992822400        6/18/2001     120.1         0.0          
992908800        6/19/2001     106.8         0.0          
992995200        6/20/2001     98.38         0.0          
993081600        6/21/2001     91.67         0.0          
993168000        6/22/2001     111.2         0.2173       
993254400        6/23/2001     210.9         15.13        
993340800        6/24/2001     236.9         12.3         
993427200        6/25/2001     518.8         90.17        
993513600        6/26/2001     364.9         18.57        
993600000        6/27/2001     353.6         12.08        
993686400        6/28/2001     316.8         1.901        
993772800        6/29/2001     329.4         1.439        
993859200        6/30/2001     296.2         0.2124       
993945600        7/1/2001      271.3         0.04958      
994032000        7/2/2001      582.7         57.7         
994118400        7/3/2001      544.2         60.47        
994204800        7/4/2001      379.1         9.95         
994291200        7/5/2001      337.0         2.449        
994377600        7/6/2001      308.3         0.6912       
994464000        7/7/2001      281.4         0.2085       
994550400        7/8/2001      297.1         3.502        
994636800        7/9/2001      263.1         0.3919       
994723200        7/10/2001     238.8         0.05525      
994809600        7/11/2001     215.9         0.0          
994896000        7/12/2001     202.4         0.0861       
994982400        7/13/2001     200.1         0.3065       
995068800        7/14/2001     182.7         0.03154      
995155200        7/15/2001     177.2         0.0265       
995241600        7/16/2001     183.3         0.3982       
995328000        7/17/2001     175.2         0.03896      
995414400        7/18/2001     179.8         0.172        
995500800        7/19/2001     567.8         124.3        
995587200        7/20/2001     351.7         23.19        
995673600        7/21/2001     304.0         5.831        
995760000        7/22/2001     294.9         1.818        
995846400        7/23/2001     275.2         0.4742       
995932800        7/24/2001     307.2         6.077        
996019200        7/25/2001     278.7         0.6386       
996105600        7/26/2001     372.9         24.02        
996192000        7/27/2001     303.0         2.128        
996278400        7/28/2001     286.6         0.3901       
996364800        7/29/2001     286.2         0.8721       
996451200        7/30/2001     261.2         0.0854       
996537600        7/31/2001     242.7         0.04517      
996624000        8/1/2001      238.7         0.509        
996710400        8/2/2001      276.3         7.654        
996796800        8/3/2001      241.7         0.6003       
996883200        8/4/2001      223.1         0.07998      
996969600        8/5/2001      212.1         0.04951      
997056000        8/6/2001      218.9         0.5374       
997142400        8/7/2001      227.6         0.9386       
997228800        8/8/2001      895.3         306.6        
997315200        8/9/2001      390.7         43.4         
997401600        8/10/2001     351.6         15.24        
997488000        8/11/2001     356.3         9.634        
997574400        8/12/2001     314.2         1.634        
997660800        8/13/2001     298.3         0.4698       
997747200        8/14/2001     331.6         5.255        
997833600        8/15/2001     298.7         0.6421       
997920000        8/16/2001     394.0         14.16        
998006400        8/17/2001     309.2         1.218        
998092800        8/18/2001     283.0         0.1908       
998179200        8/19/2001     264.0         0.03687      
998265600        8/20/2001     251.8         0.0453       
998352000        8/21/2001     230.7         0.0          
998438400        8/22/2001     210.1         0.0          
998524800        8/23/2001     192.7         0.0          
998611200        8/24/2001     176.6         0.0          
998697600        8/25/2001     244.3         9.593        
998784000        8/26/2001     208.9         0.806        
998870400        8/27/2001     196.7         0.1074       
998956800        8/28/2001     185.3         0.0          
999043200        8/29/2001     172.1         0.0          
999129600        8/30/2001     158.9         0.0          
999216000        8/31/2001     149.6         0.0          
999302400        9/1/2001      166.5         0.9772       
999388800        9/2/2001      191.3         1.119        
999475200        9/3/2001      242.6         4.232        
999561600        9/4/2001      216.6         0.3482       
999648000        9/5/2001      221.9         0.169        
999734400        9/6/2001      224.2         0.1009       
