UTC Offset (millisec),Date,FLOW_OUTcms,SED_INtons,SEDCONCmg/kg
1233360000000,Jan 09,5.38,1.063e-07,0.0
1235779200000,Feb 09,1.478,9.597e-08,0.0
1238457600000,Mar 09,1.754,1.167e-07,0.0
1241049600000,Apr 09,4.286,1.081e-07,0.0
1243728000000,May 09,7.971,1.22e-07,0.0
1246320000000,Jun 09,9.0,1.133e-07,0.0
1248998400000,Jul 09,88.94,7013.0,39.79
1251676800000,Aug 09,100.2,2.687e-07,0.0
1254268800000,Sep 09,86.75,5955.0,19.09
1256947200000,Oct 09,41.27,2.373e-07,0.0
1259539200000,Nov 09,9.039,1.028e-07,0.0
1262217600000,Dec 09,2.86,1.063e-07,0.0
1264896000000,Jan 10,4.341,1.22e-07,0.0
1267315200000,Feb 10,0.8555,9.597e-08,0.0
1269993600000,Mar 10,0.5361,1.063e-07,0.0
1272585600000,Apr 10,6.902,1.133e-07,0.0
1275264000000,May 10,8.541,1.272e-07,0.0
1277856000000,Jun 10,11.25,1.343e-07,0.0
1280534400000,Jul 10,65.55,6847.0,39.03
1283212800000,Aug 10,115.7,4.441,0.01366
1285804800000,Sep 10,87.58,2903.0,11.29
1288483200000,Oct 10,33.4,2.216e-07,0.0
1291075200000,Nov 10,7.406,1.028e-07,0.0
1293753600000,Dec 10,2.489,1.063e-07,0.0
1296432000000,Jan 11,0.6441,1.063e-07,0.0
1298851200000,Feb 11,0.2341,9.597e-08,0.0
1301529600000,Mar 11,2.892,1.063e-07,0.0
1304121600000,Apr 11,2.91,1.028e-07,0.0
1306800000000,May 11,5.576,1.063e-07,0.0
1309392000000,Jun 11,36.71,7109.0,29.61
1312070400000,Jul 11,75.54,2.687e-07,0.0
1314748800000,Aug 11,171.1,22980.0,46.97
1317340800000,Sep 11,140.5,10190.0,20.52
1320019200000,Oct 11,37.81,2.582e-07,0.0
1322611200000,Nov 11,11.28,1.186e-07,0.0
1325289600000,Dec 11,3.341,1.063e-07,0.0
1327968000000,Jan 12,1.058,1.063e-07,0.0
1330473600000,Feb 12,0.1594,9.94e-08,0.0
1333152000000,Mar 12,0.0006241,1.063e-07,0.0
1335744000000,Apr 12,6.896,1.028e-07,0.0
1338422400000,May 12,17.68,1.691e-07,0.0
1341014400000,Jun 12,49.27,2.601e-07,0.0
1343692800000,Jul 12,106.1,151700.0,271.7
1346371200000,Aug 12,226.6,8548.0,12.73
1348963200000,Sep 12,113.4,61.57,0.2133
1351641600000,Oct 12,29.53,2.32e-07,0.0
1354233600000,Nov 12,11.86,1.29e-07,0.0
1356912000000,Dec 12,5.483,1.167e-07,0.0
1359590400000,Jan 13,1.232,1.063e-07,0.0
1362009600000,Feb 13,1.772,9.597e-08,0.0
1364688000000,Mar 13,0.4618,1.063e-07,0.0
1367280000000,Apr 13,4.625,1.028e-07,0.0
1369958400000,May 13,5.42,1.063e-07,0.0
1372550400000,Jun 13,43.18,14630.0,50.54
1375228800000,Jul 13,134.0,24700.0,49.1
1377907200000,Aug 13,231.3,88610.0,122.0
1380499200000,Sep 13,127.0,9402.0,15.23
1383177600000,Oct 13,24.94,2.32e-07,0.0
1385769600000,Nov 13,8.074,1.028e-07,0.0
1388448000000,Dec 13,4.315,1.063e-07,0.0
1391126400000,Jan 14,0.8431,1.063e-07,0.0
1393545600000,Feb 14,0.1083,9.597e-08,0.0
1396224000000,Mar 14,0.6392,1.063e-07,0.0
1398816000000,Apr 14,7.376,1.395e-07,0.0
1401494400000,May 14,6.754,1.115e-07,0.0
1404086400000,Jun 14,19.64,48.24,0.5453
