StreamID: 426
Parameters: FLOW_OUTcms
Dates: Jan 2009 - Jul 2015



UTCoffset(sec)   Date(m/y)   FLOW_OUTcms
1233360000       1/2009      12.78         
1235779200       2/2009      7.779         
1238457600       3/2009      6.228         
1241049600       4/2009      3.273         
1243728000       5/2009      56.69         
1246320000       6/2009      271.6         
1248998400       7/2009      213.1         
1251676800       8/2009      202.4         
1254268800       9/2009      164.2         
1256947200       10/2009     78.08         
1259539200       11/2009     34.92         
1262217600       12/2009     16.14         
1264896000       1/2010      7.456         
1267315200       2/2010      10.56         
1269993600       3/2010      3.471         
1272585600       4/2010      3.047         
1275264000       5/2010      31.05         
1277856000       6/2010      129.4         
1280534400       7/2010      227.1         
1283212800       8/2010      223.2         
1285804800       9/2010      219.6         
1288483200       10/2010     231.0         
1291075200       11/2010     67.21         
1293753600       12/2010     32.08         
1296432000       1/2011      14.28         
1298851200       2/2011      6.787         
1301529600       3/2011      3.277         
1304121600       4/2011      3.296         
1306800000       5/2011      9.306         
1309392000       6/2011      127.2         
1312070400       7/2011      317.7         
1314748800       8/2011      265.2         
1317340800       9/2011      271.6         
1320019200       10/2011     126.6         
1322611200       11/2011     46.84         
1325289600       12/2011     21.64         
1327968000       1/2012      9.534         
1330473600       2/2012      4.548         
1333152000       3/2012      2.996         
1335744000       4/2012      8.095         
1338422400       5/2012      34.79         
1341014400       6/2012      132.7         
1343692800       7/2012      270.4         
1346371200       8/2012      183.9         
1348963200       9/2012      164.2         
1351641600       10/2012     65.8          
1354233600       11/2012     30.8          
1356912000       12/2012     14.49         
1359590400       1/2013      6.24          
1362009600       2/2013      3.364         
1364688000       3/2013      3.049         
1367280000       4/2013      6.751         
1369958400       5/2013      65.87         
1372550400       6/2013      109.9         
1375228800       7/2013      210.1         
1377907200       8/2013      257.3         
1380499200       9/2013      178.5         
1383177600       10/2013     103.1         
1385769600       11/2013     43.35         
1388448000       12/2013     20.32         
1391126400       1/2014      9.053         
1393545600       2/2014      4.376         
1396224000       3/2014      2.223         
1398816000       4/2014      2.738         
1401494400       5/2014      1.954         
1404086400       6/2014      107.2         
1406764800       7/2014      159.4         
1409443200       8/2014      192.8         
1412035200       9/2014      124.2         
1414713600       10/2014     57.64         
1417305600       11/2014     27.29         
1419984000       12/2014     12.53         
1422662400       1/2015      5.53          
1425081600       2/2015      2.935         
1427760000       3/2015      2.125         
1430352000       4/2015      1.202         
1433030400       5/2015      3.693         
1435622400       6/2015      4.425         
1438300800       7/2015      143.7         
